global_key,source,job_id,job_url,title,company,company_link,location,country,posted_date,num_applicants,work_mode,employment_type,position,type,compensation,commitment,skills,category_primary,scraped_at,master_built_at
https://www.jobsnepal.com/1-content-writer-and-1-senior-video-editor-141359,jobsnepal,141359,https://www.jobsnepal.com/1-content-writer-and-1-senior-video-editor-141359,1 Content Writer and 1 Senior Video Editor,Freedom Studio,https://www.jobsnepal.com/employer/freedom-studio/420033,Kathmandu,Nepal,2026-02-20,,,Contract,,Contract,,,"Please check vacancy details, Content Writing, Visual editor",Non-IT,2026-02-20 08:48:39.088445,2026-02-23T10:27:31
https://www.jobsnepal.com/finance-and-admin-officerprotection-officer-141360,jobsnepal,141360,https://www.jobsnepal.com/finance-and-admin-officerprotection-officer-141360,Finance and Admin Officer/Protection Officer,Bagmati Welfare Society Nepal(BWSN),https://www.jobsnepal.com/employer/bagmati-welfare-society-nepalbwsn/7893,,Nepal,2026-02-20,,,,,,,,,Non-IT,2026-02-20 08:48:37.592509,2026-02-23T10:27:31
https://www.jobsnepal.com/blblkaka-lga-pathana-samagara-reading-materials-kharatha-samabnathha-salbnatha-tharabhau-patara-aahavanaka-sacana-141361,jobsnepal,141361,https://www.jobsnepal.com/blblkaka-lga-pathana-samagara-reading-materials-kharatha-samabnathha-salbnatha-tharabhau-patara-aahavanaka-sacana-141361,बालबालिकाको लागि पठन सामाग्री (Reading Materials) खरिद सम्बन्धी सिलबन्दी दरभाउ पत्र आह्वानको सूचना,RUDEC Nepal,https://www.jobsnepal.com/employer/rudec-nepal/420980,,Nepal,2026-02-20,,,Contract,,Contract,,,"Development Project, Expression of Interests, Tender Notice, Bid",Non-IT,2026-02-20 08:48:36.351981,2026-02-23T10:27:31
https://www.linkedin.com/jobs/view/4375629855/,linkedin,4375629855,https://www.linkedin.com/jobs/view/4375629855/,Compensation Manager (Remote),Elevate Recruitment,https://www.linkedin.com/company/elevate-recruitmentt/life,APAC,South Korea,3 hours ago,,Remote,Contract,,,,,,Non-IT,2026-02-20 08:15:12.636357,2026-02-23T10:27:31
https://www.linkedin.com/jobs/view/4341530228/,linkedin,4341530228,https://www.linkedin.com/jobs/view/4341530228/,E&I Technician (1년 계약직),Air Liquide,https://www.linkedin.com/company/airliquide/life,"Cheonan, South Chungcheong, South Korea",South Korea,Reposted 2 weeks ago,,On-site,Full-time,,,,,,Non-IT,2026-02-20 08:15:10.403187,2026-02-23T10:27:31
https://www.linkedin.com/jobs/view/4370943582/,linkedin,4370943582,https://www.linkedin.com/jobs/view/4370943582/,Junior Casualty Underwriter,Starr,https://www.linkedin.com/company/starr-insurance/life,"Seoul, South Korea",South Korea,1 week ago,Actively reviewing applicants,On-site,Full-time,,,,,,Non-IT,2026-02-20 08:15:08.193539,2026-02-23T10:27:31
https://www.linkedin.com/jobs/view/4245214188/,linkedin,4245214188,https://www.linkedin.com/jobs/view/4245214188/,小时工(J22536),LYFEN,https://www.linkedin.com/company/lyfen/life,"Ansan, Gyeonggi, South Korea",South Korea,8 months ago,,On-site,Full-time,,,,,,Non-IT,2026-02-20 08:15:05.968352,2026-02-23T10:27:31
https://www.linkedin.com/jobs/view/4369513385/,linkedin,4369513385,https://www.linkedin.com/jobs/view/4369513385/,Creator Manager,Netmarble,https://www.linkedin.com/company/netmarble-games/life,"Seoul, South Korea",South Korea,1 week ago,22 applicants No response insights available yet,On-site,Full-time,,,,,,Non-IT,2026-02-20 08:15:03.661857,2026-02-23T10:27:31
https://www.linkedin.com/jobs/view/4370925855/,linkedin,4370925855,https://www.linkedin.com/jobs/view/4370925855/,CDC Director w/CYP Oversight (Includes School Liaison Role),Navy Region Korea Fleet and Family Readiness (FFR),https://www.linkedin.com/company/nrkffr/life,"Chinhae, South Gyeongsang, South Korea",South Korea,1 week ago,,,Full-time,,,,,,Non-IT,2026-02-20 08:14:43.395837,2026-02-23T10:27:31
https://www.linkedin.com/jobs/view/4368163219/,linkedin,4368163219,https://www.linkedin.com/jobs/view/4368163219/,Public Policy Analyst,GR Korea,https://www.linkedin.com/company/gr-korea/life,"Seoul, South Korea",South Korea,2 weeks ago,,On-site,Full-time,,,,,,Non-IT,2026-02-20 08:14:41.151014,2026-02-23T10:27:31
https://www.linkedin.com/jobs/view/4374150538/,linkedin,4374150538,https://www.linkedin.com/jobs/view/4374150538/,Senior Program Officer,Tara Climate Foundation,https://www.linkedin.com/company/tara-climate-foundation/life,South Korea,South Korea,2 days ago,Over 100 applicants Promoted by hirer,Remote,Full-time,,,,,,Non-IT,2026-02-20 08:14:38.921945,2026-02-23T10:27:31
https://www.linkedin.com/jobs/view/4360807933/,linkedin,4360807933,https://www.linkedin.com/jobs/view/4360807933/,Surveyor I,American Bureau of Shipping (ABS),https://www.linkedin.com/company/american-bureau-of-shipping/life,Ulsan Metropolitan Area,South Korea,Reposted 1 week ago,,On-site,Full-time,,,,,,Non-IT,2026-02-20 08:14:36.577790,2026-02-23T10:27:31
